PRISM Time Series Data,,,,,,
Locations: 292,,,,,,
"Climate variables: ppt,tmean",,,,,,
Spatial resolution: 800m,,,,,,
Monthly 1991-2020 Normals,,,,,,
Dataset: Norm91m,,,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,,,
Grid Cell Interpolation: On,,,,,,
Time series generated: 2024-Jan-23,,,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,,,
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmean (degrees F)
AW14,-72.43,43.7,823,January,2.92,18.2
AW14,-72.43,43.7,823,February,2.59,20.4
AW14,-72.43,43.7,823,March,3.07,29.3
AW14,-72.43,43.7,823,April,3.39,42.3
AW14,-72.43,43.7,823,May,3.52,54.8
AW14,-72.43,43.7,823,June,4.05,63.5
AW14,-72.43,43.7,823,July,4.19,68.3
AW14,-72.43,43.7,823,August,3.68,66.6
AW14,-72.43,43.7,823,September,3.51,59.3
AW14,-72.43,43.7,823,October,4.45,47
AW14,-72.43,43.7,823,November,3.11,35.9
AW14,-72.43,43.7,823,December,3.67,25
AW14,-72.43,43.7,823,Annual,42.16,44.2
,,,,,,
NW19C,-73.3033,44.9863,111,January,2.58,17
NW19C,-73.3033,44.9863,111,February,2.15,19.1
NW19C,-73.3033,44.9863,111,March,2.53,29.1
NW19C,-73.3033,44.9863,111,April,3.27,43.4
NW19C,-73.3033,44.9863,111,May,3.63,56.7
NW19C,-73.3033,44.9863,111,June,4.09,65.8
NW19C,-73.3033,44.9863,111,July,4.03,70.5
NW19C,-73.3033,44.9863,111,August,3.85,68.6
NW19C,-73.3033,44.9863,111,September,3.53,61.3
NW19C,-73.3033,44.9863,111,October,4.07,48.7
NW19C,-73.3033,44.9863,111,November,3.04,36.8
NW19C,-73.3033,44.9863,111,December,3.07,25.1
NW19C,-73.3033,44.9863,111,Annual,39.83,45.2
,,,,,,
NW19T,-73.3,44.9897,123,January,2.59,16.9
NW19T,-73.3,44.9897,123,February,2.15,18.9
NW19T,-73.3,44.9897,123,March,2.54,29
NW19T,-73.3,44.9897,123,April,3.28,43.4
NW19T,-73.3,44.9897,123,May,3.64,56.7
NW19T,-73.3,44.9897,123,June,4.09,65.7
NW19T,-73.3,44.9897,123,July,4.04,70.4
NW19T,-73.3,44.9897,123,August,3.86,68.5
NW19T,-73.3,44.9897,123,September,3.54,61.2
NW19T,-73.3,44.9897,123,October,4.08,48.6
NW19T,-73.3,44.9897,123,November,3.05,36.7
NW19T,-73.3,44.9897,123,December,3.08,25
NW19T,-73.3,44.9897,123,Annual,39.94,45.1
,,,,,,
NW10C,-72.8362,45.0057,474,January,2.87,16.5
NW10C,-72.8362,45.0057,474,February,2.35,18.7
NW10C,-72.8362,45.0057,474,March,2.96,28.3
NW10C,-72.8362,45.0057,474,April,3.42,42.5
NW10C,-72.8362,45.0057,474,May,3.94,55.4
NW10C,-72.8362,45.0057,474,June,4.47,64.2
NW10C,-72.8362,45.0057,474,July,4.58,68.7
NW10C,-72.8362,45.0057,474,August,4.43,67.3
NW10C,-72.8362,45.0057,474,September,4.12,59.8
NW10C,-72.8362,45.0057,474,October,4.37,47.9
NW10C,-72.8362,45.0057,474,November,3.38,36.2
