Field_Code,Longitude,Latitude,Elevation (ft),Date,ppt.in,ppt.cm,tmeanF,tmeanC
AW14,-72.43,43.7,823,Annual,42.16,107.0864,44.2,6.777777778
NW19C,-73.3033,44.9863,111,Annual,39.83,101.1682,45.2,7.333333333
NW19T,-73.3,44.9897,123,Annual,39.94,101.4476,45.1,7.277777778
NW10C,-72.8362,45.0057,474,Annual,44.26,112.4204,44.1,6.722222222
NW10T,-72.8383,45.0028,472,Annual,44.1,112.014,44.2,6.777777778
NW01C,-73.0212,44.9328,290,Annual,41.6,105.664,45,7.222222222
NW01T,-73.0503,44.92,258,Annual,41.22,104.6988,45.2,7.333333333
WR1,-72.1614,43.896,453,Annual,38.9,98.806,45,7.222222222
WR4,-72.1641,43.8927,428,Annual,38.87,98.7298,45.1,7.277777778
D7,-73.18,43.36,736,Annual,46.99,119.3546,45.7,7.611111111
D8,-73.17,43.38,1052,Annual,48.09,122.1486,45,7.222222222
NW06C,-72.9652,44.908,342,Annual,41.96,106.5784,44.9,7.166666667
NW06T,-72.9557,44.9023,358,Annual,41.97,106.6038,44.9,7.166666667
AW10,-72.97,44.29,853,Annual,46.49,118.0846,43.9,6.611111111
AW11,-72.96,44.27,872,Annual,47.62,120.9548,43.8,6.555555556
EL3,-72.4554,44.8379,1307,Annual,50.77,128.9558,41.9,5.5
WR2,-72.1881,43.8067,434,Annual,39.02,99.1108,45.3,7.388888889
WR3,-72.1859,43.8068,417,Annual,39.04,99.1616,45.4,7.444444444
AW8,-72.4252,43.5505,681,Annual,42.58,108.1532,44.9,7.166666667
AW9,-72.4239,43.5485,680,Annual,42.52,108.0008,44.9,7.166666667
RM10,-73.1956,43.0017,1001,Annual,49.45,125.603,45.3,7.388888889
RM9,-73.1959,43.0002,1009,Annual,49.44,125.5776,45.3,7.388888889
AW2,-72.8634,42.8041,1949,Annual,55.54,141.0716,42.9,6.055555556
AW3,-72.8635,42.7931,1834,Annual,55.57,141.1478,42.8,6
WR5,-72.3764,43.6027,652,Annual,41.01,104.1654,44.9,7.166666667
WR6,-72.3977,43.5992,765,Annual,42.07,106.8578,44.6,7
DC22,-73.3666,44.0003,200,Annual,36.46,92.6084,46.6,8.111111111
DC23,-73.3666,44.0001,200,Annual,36.46,92.6084,46.6,8.111111111
DC25,-73.36,43.97,195,Annual,36.61,92.9894,46.7,8.166666667
DC26,-73.3599,43.9769,189,Annual,36.58,92.9132,46.7,8.166666667
DC38,-73.3675,43.9598,235,Annual,36.65,93.091,46.6,8.111111111
DC39,-73.361,43.9608,232,Annual,36.66,93.1164,46.6,8.111111111
DC40,-73.3178,43.9755,247,Annual,36.73,93.2942,46.4,8
DA3,-73.1553,44.826,113,Annual,38.88,98.7552,46,7.777777778
DA2,-73.1553,44.826,113,Annual,38.88,98.7552,46,7.777777778
DA4,-73.1553,44.826,113,Annual,38.88,98.7552,46,7.777777778
DA1,-73.1553,44.826,113,Annual,38.88,98.7552,46,7.777777778
WR8,-72.6005,43.6849,1218,Annual,46.98,119.3292,42.8,6
WR7,-72.5991,43.6785,1266,Annual,46.8,118.872,42.7,5.944444444
RM11,-73.0927,43.1396,955,Annual,52.09,132.3086,45.1,7.277777778
RM4,-73.107,43.9833,418,Annual,40.26,102.2604,45.8,7.666666667
RM5,-73.1106,43.982,412,Annual,40.16,102.0064,45.8,7.666666667
RM1,-72.8704,43.4859,1348,Annual,50.05,127.127,44.1,6.722222222
NW12C,-72.9706,44.9672,285,Annual,42.61,108.2294,45,7.222222222
NW12T,-72.9715,44.967,278,Annual,42.58,108.1532,45,7.222222222
LO16,-73.0977,44.1413,516,Annual,41.15,104.521,45.2,7.333333333
LO17,-73.0966,44.1409,523,Annual,41.25,104.775,45.2,7.333333333
LO18,-73.1019,44.1432,513,Annual,41.07,104.3178,45.2,7.333333333
LO19,-73.1028,44.1384,480,Annual,40.86,103.7844,45.4,7.444444444
LO20,-73.1098,44.1439,496,Annual,40.81,103.6574,45.3,7.388888889
LO21,-73.1145,44.1451,484,Annual,40.79,103.6066,45.4,7.444444444
LO22,-73.108,44.142,496,Annual,40.79,103.6066,45.3,7.388888889
LO23,-73.1,44.1,446,Annual,40.25,102.235,45.5,7.5
LO24,-73.1,44.1,446,Annual,40.25,102.235,45.5,7.5
LO25,-73.118,44.136,396,Annual,40.35,102.489,45.7,7.611111111
LO26,-73.1,44.1,446,Annual,40.25,102.235,45.5,7.5
LO27,-73.1229,44.1477,478,Annual,40.74,103.4796,45.4,7.444444444
LO28,-73.1258,44.1504,487,Annual,40.76,103.5304,45.4,7.444444444
LO30,-73.1245,44.1496,485,Annual,40.76,103.5304,45.4,7.444444444
LO31,-73.1,44.1,446,Annual,40.25,102.235,45.5,7.5
LO32,-73.1,44.1,446,Annual,40.25,102.235,45.5,7.5
LO33,-73.1237,44.1449,447,Annual,40.55,102.997,45.5,7.5
LO34,-73.1,44.1,446,Annual,40.25,102.235,45.5,7.5
LO35,-73.1,44.154,540,Annual,41.67,105.8418,45.1,7.277777778
NW23C,-73.1404,44.9057,156,Annual,39.86,101.2444,45.6,7.555555556
NW23T,-73.1478,44.9021,150,Annual,39.71,100.8634,45.6,7.555555556
NW07C,-72.8009,44.8663,427,Annual,43.01,109.2454,44.6,7
NW07T,-72.8002,44.8693,452,Annual,42.93,109.0422,44.5,6.944444444
D1,-71.9552,44.4296,888,Annual,41.52,105.4608,42.5,5.833333333
VE2,-72.6216,44.1029,1513,Annual,45.05,114.427,42,5.555555556
VE1,-72.6206,44.1018,1511,Annual,45.1,114.554,42,5.555555556
RM2,-73.3346,43.9303,325,Annual,36.99,93.9546,46.2,7.888888889
RM3,-73.3367,43.9314,317,Annual,36.97,93.9038,46.2,7.888888889
AW15,-73.31,44.04,181,Annual,36.83,93.5482,46.6,8.111111111
AW16,-73.31,44.05,199,Annual,37.01,94.0054,46.6,8.111111111
VE9,-73.3086,43.8147,317,Annual,37.58,95.4532,46.3,7.944444444
VE10,-73.313,43.8223,281,Annual,37.35,94.869,46.5,8.055555556
EL5,-72.2589,44.6888,1853,Annual,49.47,125.6538,40.2,4.555555556
AW1,-73.2063,44.431,222,Annual,38.4,97.536,46.3,7.944444444
