Year,DoY,season,daily_NEE,daily_GPP,daily_Reco,MaxT,MinT,Radn,rainfall,TairMean,pdi,mean_SoilC,grazeYN
2022,1,Winter,-0.0758934484,-0.0991384369,0.0232438676,3.9,1.1,0.91,0,2.279166667,-0.05,0.285768133,N
2022,2,Winter,-0.3310351683,-0.354992752,0.0239615222,3.9,-2.2,1.19,0,2.293055556,-0.05,2.154220842,N
2022,3,Winter,-0.08417587019999999,-0.0963618578,0.0121864654,-2.2,-8.9,2.32,0,-5.321180556,-0.05,0.910507458,N
2022,4,Winter,-0.3755779996,-0.385839404,0.0102605952,-2.8,-12.8,7.38,0,-7.093402778,-0.05,-1.684123733,N
2022,5,Winter,-0.134298326,-0.1496158394,0.0153152832,5,-4.4,1.02,4.6,-3.083333333,-0.05,-2.386601513,N
2022,6,Winter,-0.1916652632,-0.2108021092,0.0191447415,3.9,-2.2,6.89,0,-0.469444444,-0.05,-0.145919542,N
2022,7,Winter,-0.5831620152,-0.5985784785,0.015427957,0,-5,0.53,8.6,-2.939930556,-0.05,0.291005704,N
2022,8,Winter,-0.1481627762,-0.15605327670000002,0.0078884411,-2.8,-13.3,8.41,0,-9.408333334,0.37,-0.582689675,N
2022,9,Winter,0.7358231302,0.7170386824,0.0187826012,2.8,-12.2,2.38,1.5,-0.941666667,0.37,-2.077992504,N
2022,10,Winter,-0.1504884991,-0.1765188073,0.0260337994,3.9,-11.1,7.67,0,-3.776041667,0.37,-1.057004029,N
2022,11,Winter,0.14148556119999997,0.1160182555,0.0254674851,-10,-17.8,7.9,0,-14.8125,0.37,-1.817255396,N
2022,12,Winter,-0.2664654428,-0.43035642139999997,0.1638923767,-0.6,-17.8,5.12,0,-7.988541667,0.37,-6.669571942,N
2022,13,Winter,0.18045979709999999,-0.1761512104,0.3566130638,1.1,-5,3.73,0,-1.470833333,0.37,-2.415279133,N
2022,14,Winter,0.7399028079,0.2254854772,0.5144211517,2.2,-11.1,3.72,0,-0.607638889,0.37,-1.706861875,N
2022,15,Winter,0.1595983174,0.05670776330000001,0.1028917601,-11.1,-17.8,8.25,0,-15.26666667,-0.49,-2.384443667,N
2022,16,Winter,-0.57706882,-0.8089038457000001,0.2318469299,-5.6,-20,8.34,0,-12.21111111,-0.49,-7.723085796,N
2022,17,Winter,0.4501821884,-0.6661379981,1.1163148193,8.3,-7.2,2.42,29,2.600347222,-0.49,-5.243285879,N
2022,18,Winter,0.6932935634,0.011790901000000013,0.6815013112,1.7,-12.8,7.21,0.3,-4.75625,-0.49,-1.392125188,N
2022,19,Winter,0.06185924280000001,-0.8859737223999999,0.9478294668,5,-13.3,5.15,0,-2.787847222,-0.49,-3.726295217,N
2022,20,Winter,0.8822582328,-0.21694655799999998,1.099192211,3.9,-11.7,4.99,0,-1.744791667,-0.49,-2.297762304,N
2022,21,Winter,-0.4867110386,-0.8507778004000001,0.3640637583,-7.2,-16.1,8.19,0,-12.00381944,-0.49,-2.961785379,N
2022,22,Winter,-0.3962505346,-0.8221049252,0.4258520026,-7.2,-17.2,9.11,0,-11.59027778,-0.45,-7.165094754,N
2022,23,Winter,0.017130527800000007,-0.9558722275,0.9730077152,0,-13.9,6.3,0,-5.446527778,-0.45,-8.666380317,N
2022,24,Winter,-0.04622885719999998,-1.0754256972,1.0292021258,-3.3,-8.9,8.42,0.5,-5.115972222,-0.45,-4.643273417,N
2022,25,Winter,0.4346890542,-1.100448328,1.5351491448,1.7,-7.2,5.56,1,-1.581944444,-0.45,-4.768752792,N
