Field_Code,Type,soil_texture_class,perC_P,perN_P,soilMass,panMass_P,fracPanMass_P,perC_M,perN_M,panMass_M,fracPanMass_M,gP,gM,gCarbonP,gCarbonM,mgCpergSoilP,mgCpergSoilM,propM
AW1,Veg,loamy sand,1.341066462,0.065344165,21.3184,308.87,327.43,8.494359576,0.691582765,309.39,312.51,18.56,3.12,0.248901935,0.265024019,11.67545104,12.43170307,0.51568522
AW10,Veg,sandy loam,0.346674245,0.022556744,25.73,308.44,328.01,3.460933701,0.338524891,306.93,313.43,19.57,6.5,0.06784415,0.224960691,2.636772237,8.743128277,0.768295669
AW11,Veg,sandy loam,0.560425854,0.046373539,20.82,305.76,320.24,3.554788076,0.374800584,310.25,316.68,14.48,6.43,0.081149664,0.228572873,3.89767837,10.97852417,0.737992384
AW12,Pasture,clay,8.436308932,0.583328278,27.78,308.9,313.49,2.498594699,0.250446181,309.54,332.88,4.59,23.34,0.38722658,0.583172003,13.93904176,20.9925127,0.600961309
AW13,Pasture,clay,1.689791115,0.089082503,20.15,307.45,312.56,1.443981295,0.186508592,309.56,324.35,5.11,14.79,0.086348326,0.213564834,4.285276723,10.59875104,0.712088906
AW14,Pasture,sandy loam,3.372578331,0.261282644,14.73,308.78,319.35,3.99293414,0.34458698,306.93,311.17,10.57,4.24,0.35648153,0.169300408,24.20105428,11.49357824,0.321997383
AW15,Pasture,silty clay loam,4.262771335,0.339730363,26.83,309.48,319.47,2.527759676,0.284165433,308.98,326.34,9.99,17.36,0.425850856,0.43881908,15.87218995,16.35553782,0.507498944
AW16,Pasture,silty clay loam,4.227020792,0.334955292,23.79,305.56,312.61,1.995415453,0.216520505,308.56,325.89,7.05,17.33,0.298004966,0.345805498,12.52648028,14.53575023,0.53712314
AW2,Pasture,loam,2.374709724,0.122959174,21.22,308.01,321.39,7.873436961,0.434272117,310.74,319.47,13.38,8.73,0.317736161,0.687351047,14.97342889,32.39166101,0.683872048
AW3,Pasture,loam,2.008224111,0.138345283,16.87,308.75,318.88,7.103209727,0.641483773,310.46,317.46,10.13,7,0.203433102,0.497224681,12.05886796,29.47389928,0.709654117
AW51,Veg,sandy loam,1.259892699,0.07614569,23.8,308.82,325.2,8.034466915,0.656815469,306.68,314.02,16.38,7.34,0.206370424,0.589729872,8.671026223,24.77856603,0.740773336
AW52,Veg,sandy loam,0.96615798,0.05575584,27.73,306.55,326.75,8.457528238,0.639593248,306.02,313.5,20.2,7.48,0.195163912,0.632623112,7.038006201,22.81367155,0.764234149
AW6,Pasture,loam,3.149533636,0.229367353,18.98,309.25,320.7,6.019282886,0.539948652,308.86,315.92,11.45,7.06,0.360621601,0.424961372,19.00008437,22.38995636,0.540950334
AW7,Pasture,sandy loam,2.248069688,0.124809315,19.14,308.3,320.29,7.261788219,0.565612493,310.46,317.71,11.99,7.25,0.269543556,0.526479646,14.0827354,27.50677356,0.661387312
AW8,Hay,sandy loam,2.92453424,0.184900626,24.1,307.96,326.52,8.409013981,0.754106627,306.54,312.52,18.56,5.98,0.542793555,0.502859036,22.52255415,20.86552017,0.4809045
AW9,Hay,sandy loam,1.684536135,0.100604436,24.18,308.56,326.37,4.519371586,0.473535115,310.39,318.49,17.81,8.1,0.300015886,0.366069098,12.40760487,15.1393341,0.549583172
D1,Field crops,loam,2.646843212,0.192219998,20.17,308.46,320.92,6.982398825,0.639750264,308.63,316.51,12.46,7.88,0.329796664,0.550213027,16.35085098,27.27878173,0.625235191
D2,Field crops,loam,1.2356257,0.08230898,17.762,309.52,318.81,3.41358163,0.322767758,310.25,318.71,9.29,8.46,0.114789628,0.288789006,6.462652152,16.25881128,0.715570603
D3,Hay,sandy loam,0.785078356,0.038315651,25.37,307.35,323,2.970480854,0.317556246,309.38,319.22,15.65,9.84,0.122864763,0.292295316,4.842915363,11.52129744,0.704054486
D4,Hay,sandy clay loam,2.849152268,0.192968388,24.29,309,325.05,7.065944511,0.663926743,309.29,316.87,16.05,7.58,0.457288939,0.535598594,18.82622227,22.05016854,0.53943531
D5,Veg,loam,2.186907486,0.15257327,20.05,309.24,320.9,5.004756471,0.444407847,307.5,316.19,11.66,8.69,0.254993413,0.434913337,12.71787595,21.69143827,0.630394379
D6,Veg,sandy loam,1.876316527,0.1231675,28.25,306.93,327.95,8.932048804,0.775243405,310.68,318.22,21.02,7.54,0.394401734,0.67347648,13.96112333,23.83987539,0.630667871
D7,Field crops,silt loam,2.171280542,0.1531402,18.51,307.37,314.96,3.992832514,0.415952125,308.77,320.74,7.59,11.97,0.164800193,0.477942052,8.90330595,25.82074835,0.743598317
D8,Pasture,silt loam,3.264820707,0.266607836,29.2,311.24,324.93,1.641740406,0.16924763,310.82,326.33,13.69,15.51,0.446953955,0.254633937,15.30664229,8.720340307,0.362939469
DA1,Corn,silty clay,2.315081755,0.184273236,18.8525,309.33,312.64,1.693803508,0.199931598,308.47,324.25,3.31,15.78,0.076629206,0.267282194,4.064670791,14.1775464,0.777183291
DA2,Corn,silty clay,2.863811829,0.193820232,21.2568,311.2,314.82,1.785982538,0.200268293,310.49,328.02,3.62,17.53,0.103669988,0.313082739,4.877027032,14.72859221,0.751243408
DA3,Corn,silty clay,3.104549799,0.246614786,19.9497,309.46,312.88,1.775791948,0.224059605,310.68,327.34,3.42,16.66,0.106175603,0.295846939,5.322165402,14.82964348,0.735896394
DA4,Corn,silty clay,4.015806518,0.296477256,23,310.39,314.79,2.525762843,0.25689897,309.35,328.08,4.4,18.73,0.176695487,0.47307538,7.682412469,20.5684948,0.728064929
DC22,Hay,silty clay,3.656000376,0.22616812,22,308.32,311.75,1.756535688,0.206682056,309.56,328.02,3.43,18.46,0.125400813,0.324256488,5.70003695,14.73893127,0.721119144
DC23,Corn,silty clay loam,6.42059414,0.443508662,23.46,308.87,313.77,2.318235364,0.276658528,309.33,327.86,4.9,18.53,0.314609113,0.429569013,13.41044812,18.31069961,0.577239505
