Field_Code,Type,OM30,BD30,MTC_ha30,CO2e_ha30,DateSampled,DateReceived,Tillage_1to4,Crop2Ago,CropLastYr,CropThisYr,soil_texture_class,soil_texture_sand,soil_texture_silt,soil_texture_clay,water_capacity,water_capacity_rating,pred_water_capacity,pred_water_capacity_rating,surface_hardness,surface_hardness_rating,subsurface_hardness,subsurface_hardness_rating,aggregate_stability,aggregate_stability_rating,organic_matter,organic_matter_rating,soc,total_c,total_n,ace_soil_protein_index,ace_soil_protein_index_rating,pred_soil_protein,pred_soil_protein_rating,respiration,respiration_rating,active_carbon,active_carbon_rating,ph,ph_rating,p,p_rating,k,k_rating,mg,fe,mn,zn,minor_elements_rating,overall score,Mod. Morgan Al. ppm,Mod. Morgan Ca. ppm,Mod. Morgan Cu. ppm,Mod. Morgan S. ppm,Mod. Morgan B. ppm,CN_ratio
AW14,Pasture,3.74,NA,NA,NA,8/31/2021,9/28/2021,1,PIT,PIT,PIT,sandy loam,57.72632,27.6498,14.62388,,,0.224268,91.096,NA,NA,NA,NA,83.37471,99.81912,5.47017,99.99928,,3.967,0.338,,,12.3454,92.1168,1.102299,95.29672,734.7053,92.27082,5.48,7.289757,12.5,100,301.8,100,127.6,15.9,11.8,2.2,100,87.78885,68.57,992.8,0.24,10.79,0.09,11.73668639
NW19C,Corn,7.17,1.338458201,143.9511795,527.8209916,4/8/2021,4/27/2021,2,COS,COS,COS,silty clay loam,17.87653966,52.82370941,29.29975092,,,0.260817742,93.95542134,NA,NA,NA,NA,30.31459642,40.26088294,7.42,99.9927652,,4.935,0.47,,,16.0779734,99.96539097,1.334959491,99.28545102,1083.945734,99.4531866,6.87,100,4.3,100,101.9,100,195.4,1.9,1.9,0.7,100,93.29130981,3.78,5412.7,0.32,9.19,0.89,10.5
NW19T,Corn,4.51,1.234769365,83.53214754,306.284541,4/8/2021,4/27/2021,2,COS,COS,COS,loam,37.28190259,37.50163876,25.21645865,,,0.230815872,86.20277528,NA,NA,NA,NA,44.06718004,76.60666515,4.74,97.3402426,,3.098,0.293,,,9.955625988,85.24869643,0.86680154,81.3089398,895.9635558,98.38364933,7.44,94.91182475,2.8,80.4,68.4,93.78988,156.2,0.8,4.8,0.4,100,89.41926733,3.07,4070.6,0.21,12.69,0.93,10.57337884
NW10C,Corn,4.23,1.35466715,85.95363067,315.1633124,4/7/2021,4/27/2021,2,COS,COS,COS,loam,36.98526398,46.68751271,16.32722331,,,0.237531345,88.35241698,NA,NA,NA,NA,43.26560775,75.21979535,4.93,98.40013538,,3.341,0.286,,,11.85579783,94.77019882,0.505043123,37.58028146,963.3533934,99.38707269,6.55,100,17.4,100,230.2,100,188.7,2.9,3.9,3,100,89.37099007,26.73,1762.1,1.56,7.61,0.33,11.68181818
NW10T,Corn,4.39,1.312906053,86.45486359,317.0011665,4/7/2021,4/27/2021,2,COS,COS,COS,silt loam,33.64049045,50.24134117,16.11816838,,,0.25366366,92.52047464,NA,NA,NA,NA,44.57771544,77.46707089,5.02,98.75980902,,3.49,0.308,,,10.84178116,90.58611556,0.639815867,55.27924118,883.5496384,98.09250852,6.82,100,11.1,100,180.1,100,179.5,2.6,5.4,2,100,91.27052198,27.47,1925.9,1.55,7.66,0.31,11.33116883
NW01C,Corn,2.9,1.39684454,60.76273749,222.7967041,4/9/2021,4/27/2021,2,COS,COS,COS,sandy loam,74.07473767,16.08105798,9.844204353,,,0.161871261,67.55546258,NA,NA,NA,NA,36.5810232,62.17411355,2.64,78.81446014,,2.031,0.139,,,7.928612421,56.00248109,0.320617264,17.58554615,548.3738671,68.85941414,5.37,2.531837239,8.6,100,154.9,100,37.7,6.8,5.2,2,100,65.35233149,77.96,290.1,1.21,16.03,0.04,14.61151079
NW01T,Corn,4.51,1.38687835,93.82232038,344.0151747,4/9/2021,4/27/2021,2,COS,COS,COS,sandy loam,74.02142946,16.53747058,9.441099963,,,0.158110344,65.60020798,NA,NA,NA,NA,48.96625886,84.08907449,4.2,99.70202368,,3.771,0.271,,,12.95558973,94.37789271,0.34189717,19.48000629,679.6067088,87.45226417,5.61,19.38938408,6.1,100,170.1,100,53.9,11.7,3.4,1.8,100,77.00908534,123.21,358,0.79,14.65,0.04,13.91512915
WR1,Corn,4.84,1.445381198,104.934675,384.7604749,5/11/2021,5/18/2021,,COS,COS,COS,sandy loam,68.25945,21.21676,10.52379,,,0.179758,76.14032,NA,NA,NA,NA,63.41566,96.41383,3.64,97.98178,,3.229,0.274,,,11.41902,87.4576,0.659677,57.88388,659.7037,85.28001,6.17,95.36979,16.5,100,139.8,100,81.9,3.4,3.8,16.2,100,89.65272,22.86,1030.8,1.55,12.43,0.18,11.78467153
WR4,Corn,3.63,1.357688937,73.92616262,271.0625963,5/4/2021,5/13/2021,4,COS,COS,COS,sandy loam,65.87518,23.11791,11.00691,,,0.174012,73.52433,NA,NA,NA,NA,47.22202,81.62652,3.24,93.94292,,2.867,0.218,,,8.829944,65.8567,0.466739,32.84481,677.0788,87.18949,7.03,100,20.5,100,102.3,100,109.2,2.3,2.1,2.4,100,83.49848,20.93,1307.7,0.12,5.13,0.31,13.15137615
D7,Field crops,7.3,1.358427618,148.7478242,545.4086886,7/1/2021,7/21/2021,2,GIE,GIE,SSH,silt loam,32.24371,52.78902,14.96727,,,0.234419,87.38774,NA,NA,NA,NA,70.56397,98.60254,5.105059,99.03311,,3.605,0.36,,,10.74122,90.06419,0.740541,68.02755,794.376,94.42202,6.28,98.54385,12.2,100,136.7,100,166.2,2.4,6.7,2.1,100,93.6081,18.88,1956.7,0.72,7.8,0.52,10.01388889
D8,Pasture,6.67,1.327894117,132.8558064,487.1379568,7/1/2021,7/21/2021,1,GIE,GIE,GIE,silt loam,31.21977,54.32387,14.45636,,,0.25514,92.83609,NA,NA,NA,NA,80.69851,99.7119,5.178994,99.22633,,3.356,0.335,,,10.17782,86.74658,1.279632,98.82571,609.467,72.29788,6.18,95.79407,3.6,100,81.7,100,155.5,4.3,8.3,0.5,100,94.54386,40.91,1326.3,0.12,7.35,0.09,10.01791045
NW06C,Corn,4.1,NA,NA,NA,4/20/2021,4/28/2021,,NA,COS,COS,silt loam,35.71246216,51.04910235,13.23843549,,,0.241674979,89.55395352,NA,NA,NA,NA,44.692405,77.65786266,4.29,92.41186998,,3.031,0.243,,,9.580459348,82.47119763,0.715004871,64.92697052,732.6280084,89.57043969,6.8,100,5.3,100,167.5,100,188.2,2.3,3.5,0.9,100,89.6592294,67.25,1936.4,0.1,20.9,0.32,12.47325103
NW06T,Corn,5.62,1.23095519,103.7695225,380.4882492,4/20/2021,4/28/2021,,NA,COS,COS,loam,44.66631992,40.29441259,15.03926749,,,0.241028783,89.37272855,NA,NA,NA,NA,30.85331383,49.67489629,4.87,98.11350842,,3.589,0.309,,,15.11363121,99.54754195,0.736284778,67.51872785,998.2723941,99.64632533,6.64,100,18.8,100,306.9,100,288.9,3.4,3.7,2.8,100,90.38737284,30.16,1816,0.17,13.92,0.43,11.61488673
AW10,Veg,1.69,1.459160548,36.98971989,135.6289729,6/16/2021,7/6/2021,4,MIX,MIX,MIX,sandy loam,74.29256,19.509,6.198447,,,0.143475,57.63246,NA,NA,NA,NA,20.85688,28.6545,1.474819,25.5759,0.98352,1.008,0.101,,,4.216634,18.15344,0.428435,28.3701,336.5252,28.523,5.85,58.98942,23.1,100,185.4,100,62.3,6.6,4.2,1.2,100,54.58988,12.24,625,0.18,19.21,0.07,9.98019802
