Field_Code,Type.x,soil_texture_class,perC_P,perN_P,soilMass,panMass_P,fracPanMass_P,perC_M,perN_M,panMass_M,fracPanMass_M,gP,gM,gCarbonP,gCarbonM,mgCpergSoilP,mgCpergSoilM,propM,Type.y,OM30,BD30,MTC_ha30,CO2e_ha30,DateSampled,DateReceived,Tillage_1to4,Crop2Ago,CropLastYr,CropThisYr,soil_texture_sand,soil_texture_silt,soil_texture_clay,water_capacity,water_capacity_rating,pred_water_capacity,pred_water_capacity_rating,surface_hardness,surface_hardness_rating,subsurface_hardness,subsurface_hardness_rating,aggregate_stability,aggregate_stability_rating,organic_matter,organic_matter_rating,soc,total_c,total_n,ace_soil_protein_index,ace_soil_protein_index_rating,pred_soil_protein,pred_soil_protein_rating,respiration,respiration_rating,active_carbon,active_carbon_rating,ph,ph_rating,p,p_rating,k,k_rating,mg,fe,mn,zn,minor_elements_rating,overall.score,Mod..Morgan.Al..ppm,Mod..Morgan.Ca..ppm,Mod..Morgan.Cu..ppm,Mod..Morgan.S..ppm,Mod..Morgan.B..ppm,CN_ratio,Acres,Owned,Yields,Type,Plants,croprotation,years.since.till,animal,cutshay,till.passes,till.depth,Organic.matter.additions,Soil.amendments,plastic.mulch,herbicides,insecticides,treated.seed,organic,irrigation,Pattern.Drainage.Tile,Longitude,Latitude,Elevation..ft.,Date,ppt.in,ppt.cm,tmeanF,tmeanC
AW1,Veg,loamy sand,1.341066462,0.065344165,21.3184,308.87,327.43,8.494359576,0.691582765,309.39,312.51,18.56,3.12,0.248901935,0.265024019,11.67545104,12.43170307,0.51568522,Veg,2.11,1.441875925,45.63537303,167.3297011,4/27/2021,5/13/2021,3,MIX,MIX,MIX,86.67461,6.473622,6.851767,,,0.099758,33.28615,NA,NA,NA,NA,59.71973,94.47043,2.64,78.81446,NA,2.143,0.153,NA,NA,8.049063,57.35606,0.261034,12.92617,695.2387,88.99371,6.98,100,31.8,100,93.9,100,120.5,1.6,1.5,1.7,100,76.5847,5.85,1153.5,0.06,2.59,0.22,14.00653595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.2063,44.431,222,Annual,38.4,97.536,46.3,7.944444444
AW10,Veg,sandy loam,0.346674245,0.022556744,25.73,308.44,328.01,3.460933701,0.338524891,306.93,313.43,19.57,6.5,0.06784415,0.224960691,2.636772237,8.743128277,0.768295669,Veg,1.69,1.459160548,36.98971989,135.6289729,6/16/2021,7/6/2021,4,MIX,MIX,MIX,74.29256,19.509,6.198447,,,0.143475,57.63246,NA,NA,NA,NA,20.85688,28.6545,1.474819,25.5759,0.98352,1.008,0.101,NA,NA,4.216634,18.15344,0.428435,28.3701,336.5252,28.523,5.85,58.98942,23.1,100,185.4,100,62.3,6.6,4.2,1.2,100,54.58988,12.24,625,0.18,19.21,0.07,9.98019802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.97,44.29,853,Annual,46.49,118.0846,43.9,6.611111111
AW11,Veg,sandy loam,0.560425854,0.046373539,20.82,305.76,320.24,3.554788076,0.374800584,310.25,316.68,14.48,6.43,0.081149664,0.228572873,3.89767837,10.97852417,0.737992384,Veg,2.76,1.374429638,56.90138701,208.638419,6/16/2021,7/6/2021,4,MIX,MIX,MIX,55.84637,32.64311,11.51052,,,0.182607,77.38315,NA,NA,NA,NA,24.98813,36.91925,2.226442,61.14319,1.619725,1.63,0.148,NA,NA,5.448908,28.86084,0.577395,46.99679,463.1378,52.61873,6.66,100,31.6,100,83.4,100,99.9,6.6,2.7,1.2,100,70.39219,13.54,1097.3,0.18,41.78,0.18,11.01351351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.96,44.27,872,Annual,47.62,120.9548,43.8,6.555555556
AW12,Pasture,clay,8.436308932,0.583328278,27.78,308.9,313.49,2.498594699,0.250446181,309.54,332.88,4.59,23.34,0.38722658,0.583172003,13.93904176,20.9925127,0.600961309,Pasture,5.58,1.27319977,106.5668207,390.7450094,7/1/2021,7/21/2021,1,ALE,ALE,ALE,10.65695,35.64824,53.69481,,,0.24768,91.13192,NA,NA,NA,NA,47.39898,74.29858,6.438096,99.66256,3.696027,3.702,0.361,NA,NA,10.31405,92.94018,0.832754,78.10799,803.4402,87.33148,6.9,100,3.2,91.6,221.4,100,742.8,1.4,4.9,0.5,100,91.50727,16.48,3688.2,0.12,8.64,0.26,10.25484765,33,1,2,hay/alfalfa/grass,Legume (more than 60% legume),"3 or more crops in annual sequence (i.e. pumpkins, corn, legumes) ",2,,3,0,8,Beef Manure (liquid),,0,0,0,0,1,0,0,-73.14,43.5,1127,Annual,47.14,119.7356,44.7,7.055555556
AW13,Pasture,clay,1.689791115,0.089082503,20.15,307.45,312.56,1.443981295,0.186508592,309.56,324.35,5.11,14.79,0.086348326,0.213564834,4.285276723,10.59875104,0.712088906,Pasture,3.96,1.416069864,84.11454992,308.4200164,7/1/2021,7/21/2021,3,ALE,ALE,ALE,25.94562,31.50539,42.54899,,,0.244413,90.29697,NA,NA,NA,NA,19.78414,21.16136,3.753503,39.20862,1.822916,1.897,0.186,NA,NA,6.610734,59.36372,0.456809,31.65727,457.189,27.79122,6.68,100,1.1,33.4629,151.8,100,814.4,4.5,4.9,0.3,100,60.29421,49.51,2320.6,0.21,8.92,0.1,10.19892473,26,0,1,pasture/hay,Grasses (less than 30% legume),,NA,,2,0,8,Dairy manure (liquid) ,,0,0,0,0,1,0,0,-73.23,43.82,352,Annual,38.69,98.2726,46.2,7.888888889
AW14,Pasture,sandy loam,3.372578331,0.261282644,14.73,308.78,319.35,3.99293414,0.34458698,306.93,311.17,10.57,4.24,0.35648153,0.169300408,24.20105428,11.49357824,0.321997383,Pasture,3.74,NA,NA,NA,8/31/2021,9/28/2021,1,PIT,PIT,PIT,57.72632,27.6498,14.62388,,,0.224268,91.096,NA,NA,NA,NA,83.37471,99.81912,5.47017,99.99928,NA,3.967,0.338,NA,NA,12.3454,92.1168,1.102299,95.29672,734.7053,92.27082,5.48,7.289757,12.5,100,301.8,100,127.6,15.9,11.8,2.2,100,87.78885,68.57,992.8,0.24,10.79,0.09,11.73668639,0.5,1,NA,pasture,Grass-legume mix (30-60% legume),,NA,Cow,NA,0,0,Dairy manure (solid) ,,0,0,0,0,0,0,0,-72.43,43.7,823,Annual,42.16,107.0864,44.2,6.777777778
AW15,Pasture,silty clay loam,4.262771335,0.339730363,26.83,309.48,319.47,2.527759676,0.284165433,308.98,326.34,9.99,17.36,0.425850856,0.43881908,15.87218995,16.35553782,0.507498944,Pasture,5.86,NA,NA,NA,8/31/2021,9/28/2021,1,PIT,PIT,PIT,17.75656,42.30239,39.94104,,,0.251559,92.05232,NA,NA,NA,NA,58.5868,89.27729,6.300941,99.4715,4.133015,4.164,0.416,NA,NA,12.11412,98.08381,1.187419,97.48887,956.9388,97.19137,6.96,100,5,100,322,100,599.5,1.3,4.4,0.6,100,97.35652,7.96,3548.6,0.12,12.56,0.62,10.00961538,21.7,1,2,pasture,,,NA,,NA,0,0,"Dairy manure (liquid) ,Dairy manure (solid), Black Gypsum","Certified organic fertilizer amendments (i.e. Bone meal, Feathermeal, Seed meals, ProGro etc.)",0,0,0,0,1,0,0,-73.31,44.04,181,Annual,36.83,93.5482,46.6,8.111111111
AW16,Pasture,silty clay loam,4.227020792,0.334955292,23.79,305.56,312.61,1.995415453,0.216520505,308.56,325.89,7.05,17.33,0.298004966,0.345805498,12.52648028,14.53575023,0.53712314,Pasture,8.68,NA,NA,NA,8/31/2021,9/28/2021,1,PIT,PIT,PIT,15.0508,45.90873,39.04047,,,0.252462,92.25577,NA,NA,NA,NA,79.18173,98.99735,7.001432,99.95734,4.223111,4.245,0.43,NA,NA,12.9403,99.05314,1.151952,96.71042,922.61,95.8899,7.05,100,7,100,193.3,100,659.2,1.1,3.1,0.6,100,98.28639,7.13,4391.6,0.06,11.29,0.62,9.872093023,19.7,1,2,pasture/hay,Grasses (less than 30% legume),,NA,Cow,1,0,0,"Dairy manure (liquid), Black Gypsum","Certified organic fertilizer amendments (i.e. Bone meal, Feathermeal, Seed meals, ProGro etc.)",0,0,0,0,1,1,0,-73.31,44.05,199,Annual,37.01,94.0054,46.6,8.111111111
AW2,Pasture,loam,2.374709724,0.122959174,21.22,308.01,321.39,7.873436961,0.434272117,310.74,319.47,13.38,8.73,0.317736161,0.687351047,14.97342889,32.39166101,0.683872048,Pasture,5.4,0.978845932,79.28652049,290.7172418,5/20/2021,5/26/2021,1,GRE,GRE,GRE,50.80255,32.14039,17.05706,,,0.240269,89.15682,NA,NA,NA,NA,73.73928,99.12114,6.59,100,NA,4.903,0.271,NA,NA,16.67163,99.8973,0.993062,90.49372,720.5037,91.18952,5.57,14.79065,3.6,100,122.7,100,70.4,61.6,2.2,0.5,56,84.06491,9.74,2635.9,0,3.08,0.21,18.09225092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.8634,42.8041,1949,Annual,55.54,141.0716,42.9,6.055555556
AW3,Pasture,loam,2.008224111,0.138345283,16.87,308.75,318.88,7.103209727,0.641483773,310.46,317.46,10.13,7,0.203433102,0.497224681,12.05886796,29.47389928,0.709654117,Pasture,5.47,1.087975709,89.26840692,327.3174921,5/20/2021,5/26/2021,1,GRE,GRE,GRE,47.88354,35.06548,17.05098,,,0.239881,89.04522,NA,NA,NA,NA,82.01124,99.77012,6.62,99.99712,NA,4.264,0.366,NA,NA,12.93676,97.44437,1.730766,99.99181,731.295,89.43947,5.53,10.98601,11.7,100,176.5,100,66.5,55.3,9.4,3.1,56,84.26741,3.09,2950.5,0,3.69,0.4,11.65027322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.8635,42.7931,1834,Annual,55.57,141.1478,42.8,6
